site,grid,plot,treatment,red_mean,green_mean,blue_mean,notes,,,,,,
KNOX,21,815,B,107.91,95.31,71.71,,,,,,,
LM,17,817,B,103,98.03,90.62,,,,,,,
KNOX,21,817,B,125.11,109.34,80.21,,,,,,,
LM,17,819,B,102.43,96.94,90.62,,,,,,,
KNOX,21,819,B,113.57,100.39,73.8,,,,,,,
LM,17,821,B,118.38,110.81,102.87,,,,,,,
KNOX,21,821,B,109.9,99.34,72.3,,,,,,,
LM,17,823,B,121.39,114.04,105.71,,,,,,,
KNOX,21,823,B,106.85,97.42,71.88,,,,,,,
LM,17,825,B,109.25,104.2,99.57,,,,,,,
KNOX,21,825,B,109.28,96.04,71.39,,,,,,,
LM,17,827,B,108.18,102.68,93.79,,,,,,,
KNOX,21,827,B,116.58,105.94,83.95,,,,,,,
LM,17,829,B,107.12,100.73,92.21,,,,,,,
KNOX,21,829,B,107.69,95.8,75.09,,,,,,,
LM,17,831,B,105.96,100.97,92.34,,,,,,,
KNOX,21,831,B,101.83,91.18,74.37,,,,,,,
LM,17,833,B,116.2,111.54,100.74,,,,,,,
KNOX,21,833,B,110.2,98.29,77.58,,,,,,,
LM,17,835,B,110.25,104.49,97.86,,,,,,,
KNOX,21,835,B,113.06,97.64,73.61,,,,,,,
LM,17,837,B,116.92,110.06,101.66,,,,,,,
KNOX,21,837,B,111.13,99.91,81.07,,,,,,,
LM,17,839,B,103.81,97.66,93.1,,,,,,,
KNOX,21,839,B,105.44,95.4,76.19,,,,,,,
LM,17,841,B,112.59,104.75,95.89,,,,,,,
KNOX,21,841,B,118.92,105.41,82.9,,,,,,,
LM,17,843,B,111.81,104.82,96.22,,,,,,,
KNOX,21,843,B,118.21,103.43,78.33,,,,,,,
LM,17,845,B,120.57,113.39,105.71,,,,,,,
KNOX,21,845,B,115.29,104.42,90.73,,,,,,,
LM,17,847,B,119.8,113.23,101.19,,,,,,,
KNOX,21,847,B,107.31,96.48,79.95,,,,,,,
LM,17,849,B,137.94,129.73,121.68,,,,,,,
KNOX,21,849,B,113.06,99.18,73.99,,,,,,,
LM,19,851,B,116.4,100.29,86.72,,,,,,,
KNOX,25,851,B,119.24,107.35,91.69,,,,,,,
LM,19,853,B,104.64,93.74,81.91,,,,,,,
KNOX,25,853,B,109.49,98.16,83.06,,,,,,,
LM,19,855,B,105.831,93.84,81.5,Biotic section looks dug up. MS redid to make sure dirt wasn't included in estimate,,,,,,
KNOX,25,855,B,112.1,101.2,81.84,,,,,,,
LM,19,857,B,105.89,93.32,79.47,,,,,,,
KNOX,25,857,B,120.5,112.69,92.35,,,,,,,
LM,19,859,B,116.704,99.85,85.59,UPDATED 2023,116.704,99.85,85.59,117.53,100.36,85.05
KNOX,25,859,B,116.71,103.88,87.73,,,,,,,
LM,19,861,B,108.21,98.35,87.93,,,,,,,
KNOX,25,861,B,110.93,95.34,75.03,,,,,,,
LM,19,863,B,104.74,90.02,77.11,,,,,,,
KNOX,25,863,B,102.74,90.42,75.64,,,,,,,
LM,19,865,B,117.34,103.78,90.49,,,,,,,
KNOX,25,865,B,116.24,100.52,82.08,,,,,,,
LM,19,867,B,113.43,104.77,93.72,,,,,,,
KNOX,25,867,B,110.62,98.94,83.77,,,,,,,
LM,19,869,B,112.38,99.66,86.03,,,,,,,
KNOX,25,869,B,113.94,100.8,84.64,,,,,,,
LM,19,871,B,123.77,108.8,92.84,,,,,,,
KNOX,25,871,B,111.14,98.88,83.02,,,,,,,
LM,19,873,B,105.96,95.43,84.1,,,,,,,
KNOX,25,873,B,113.1,99.43,85.14,,,,,,,
LM,19,875,B,115.64,106.76,95.38,,,,,,,
KNOX,25,875,B,107.39,93.77,78.1,,,,,,,
LM,19,877,B,118.81,97.21,83.49,,,,,,,
KNOX,25,877,B,106.44,93.4,76.87,,,,,,,
LM,19,879,B,118.19,106.99,93.55,,,,,,,
KNOX,25,879,B,102.72,94.44,75.29,,,,,,,
LM,19,881,B,110.02,98.44,83.48,,,,,,,
KNOX,25,881,B,117.73,105.44,94.88,,,,,,,
LM,19,883,B,115.66,102.91,88,,,,,,,
KNOX,25,883,B,131.68,118.49,99.05,Plot partially in a shrub,,,,,,
LM,19,885,B,123.151,104.31,89.64,,,,,,,
KNOX,25,885,B,104.32,88.6,67.53,,,,,,,
LM,19,887,B,115.99,107.86,94.5,,,,,,,
KNOX,25,887,B,91.88,78.19,61.43,,,,,,,
LM,19,889,B,112.9,102.13,88.71,,,,,,,
KNOX,25,889,B,96.59,81.34,60.27,,,,,,,
LM,19,891,B,119.61,107.8,94.58,,,,,,,
KNOX,25,891,B,110.26,95,75.62,,,,,,,
LM,19,893,B,115.25,101.79,89.06,,,,,,,
KNOX,25,893,B,87.76,88.09,91.48,,,,,,,
LM,19,897,B,135.41,111.17,91.93,,,,,,,
LM,19,899,B,119.32,107.75,95.48,,,,,,,
KNOX,25,899,B,95.52,87.93,75.95,,,,,,,
RES,27,901,B,120.37,121.75,113.16,,,,,,,
RES,27,903,B,117.7,120.25,112.79,,,,,,,
RES,27,905,B,126.19,128.06,119.94,,,,,,,
RES,27,907,B,121.01,124.52,115.98,,,,,,,
RES,27,909,B,122.65,127.25,117.89,,,,,,,
RES,27,911,B,127.48,132.58,124.11,,,,,,,
RES,27,913,B,120.57,124.68,116.76,,,,,,,
RES,27,915,B,120.45,123.01,115.52,,,,,,,
RES,27,917,B,118.13,114.47,106.2,,,,,,,
RES,27,919,B,118.07,118.97,112.02,,,,,,,
RES,27,921,B,129.1,128.33,122.99,,,,,,,
RES,27,923,B,115.9,116.55,109.58,,,,,,,
RES,27,925,B,127.67,129.95,123.23,,,,,,,
RES,27,927,B,126.23,131.64,123.55,,,,,,,
RES,27,929,B,120.89,124.3,114.68,,,,,,,
RES,27,931,B,131.05,135.17,125.09,,,,,,,
RES,27,933,B,120.32,121.33,113.56,,,,,,,
RES,27,935,B,116.19,114.63,108.69,,,,,,,
RES,27,937,B,114.47,114.5,108.37,,,,,,,
RES,27,939,B,115.58,110.95,103.2,,,,,,,
RES,27,941,B,138.68,143.45,136.63,,,,,,,
RES,27,943,B,113.74,116.29,111.97,,,,,,,
RES,27,945,B,120.44,122.8,119.12,,,,,,,
RES,27,947,B,139.88,145.68,135.4,,,,,,,
RES,27,949,B,129.19,128.74,120.17,,,,,,,
RES,28,951,B,116.53,112.08,101.69,,,,,,,
RES,28,953,B,123.95,119.41,107.12,,,,,,,
RES,28,955,B,129.35,126.17,117.07,,,,,,,
RES,28,957,B,111.06,108.96,100.1,,,,,,,
RES,28,959,B,116.14,112.46,105.12,,,,,,,
RES,28,961,B,107.66,105.16,97.22,,,,,,,
RES,28,963,B,130.5,128.38,119.19,,,,,,,
RES,28,965,B,126.26,123.86,115.17,,,,,,,
RES,28,967,B,108.33,105.55,100.05,,,,,,,
RES,28,969,B,100.97,108.93,102.68,,,,,,,
RES,28,971,B,112.38,120.06,111.55,,,,,,,
RES,28,973,B,112.36,109.86,102.13,,,,,,,
RES,28,975,B,111.76,108.93,99.05,,,,,,,
RES,28,977,B,114.936,111.742,103.231,UPDATED 2023,114.936,111.742,103.231,113.79,100.58,100.96
RES,28,979,B,114.15,115,109.03,,,,,,,
RES,28,981,B,109.94,119.92,102.97,,,,,,,
RES,28,983,B,119.42,114.86,104.59,,,,,,,
RES,28,985,B,117.08,114.8,106.32,,,,,,,
RES,28,987,B,118.97,117.75,105.98,,,,,,,
RES,28,989,B,117.51,116.72,109.32,,,,,,,
RES,28,991,B,104.58,104.3,101.37,,,,,,,
RES,28,993,B,100.75,98.65,93.91,,,,,,,
RES,28,995,B,116.73,115.12,109.48,,,,,,,
RES,28,997,B,107.91,108.74,104.61,,,,,,,
RES,28,999,B,118.49,119.35,112.23,,,,,,,
